Date,TDN_based_ADF,CP,B12,GEMI,B6,Longitude,B1,B8A,B5,EVI,Latitude,NDWI,B8,SampleID,LAI,B4
2022-04-06,53.78200751,6.11769724,2122.0,-5055280.910210092,3632.0,-54.83932933,1321.0,3984.0,2210.0,0.3196963666344459,-20.44665567,0.1509461216235736,3819.0,52,1.0386614544834254,1570.0
2022-04-06,60.28727268,7.962381874,2163.0,-6861171.376118913,3838.0,-54.83899467,1369.0,4357.0,2224.0,0.3683665894315344,-20.44704667,0.1892998498703425,4138.0,53,1.2147503205632917,1518.0
2022-04-06,60.67244732,8.135262155,2163.0,-6861171.376118913,3838.0,-54.83899467,1369.0,4357.0,2224.0,0.3683665894315344,-20.44704667,0.1892998498703425,4138.0,53,1.2147503205632917,1518.0
2022-04-06,58.81055681,8.608928308,2097.0,-5887360.100262395,3871.0,-54.83874133,1369.0,4245.0,2228.0,0.3453093698779821,-20.447071,0.1760631666435794,3940.0,54,1.1313293002185394,1513.0
2022-04-06,57.32815206,8.451011648,2097.0,-5887360.100262395,3871.0,-54.83874133,1369.0,4245.0,2228.0,0.3453093698779821,-20.447071,0.1760631666435794,3940.0,54,1.1313293002185394,1513.0
2022-04-06,56.37384648,7.972521079,2148.0,-6829776.1522453725,3870.0,-54.839704,1300.0,4335.0,2241.0,0.3674362117242232,-20.44656733,0.173842404549147,4135.0,55,1.2113842140182394,1521.0
2022-04-06,57.11351203,7.891813573,2148.0,-6829776.1522453725,3870.0,-54.839704,1300.0,4335.0,2241.0,0.3674362117242232,-20.44656733,0.173842404549147,4135.0,55,1.2113842140182394,1521.0
2022-04-06,59.92512136,7.804520603,2103.0,-3862811.33180982,3499.0,-54.83924033,1326.0,3872.0,2182.0,0.283425790305281,-20.44671567,0.1475992886781268,3547.0,56,0.9074345093245064,1581.0
2022-04-06,60.01880931,7.78506766,2103.0,-3862811.33180982,3499.0,-54.83924033,1326.0,3872.0,2182.0,0.283425790305281,-20.44671567,0.1475992886781268,3547.0,56,0.9074345093245064,1581.0
2022-04-06,53.65869286,8.597778863,2131.0,-7395035.085700852,3902.0,-54.83974233,1296.0,4362.0,2214.0,0.3804323501767891,-20.44650433,0.1762167992449777,4236.0,57,1.2584042429396232,1516.0
2022-04-06,53.8609648,8.767578658,2131.0,-7395035.085700852,3902.0,-54.83974233,1296.0,4362.0,2214.0,0.3804323501767891,-20.44650433,0.1762167992449777,4236.0,57,1.2584042429396232,1516.0
2022-04-06,48.65361454,4.857827097,1995.0,-7405885.649845396,3738.0,-54.839105,1365.0,4252.0,2120.0,0.3903964201709597,-20.44705267,0.1905361892762144,4107.0,58,1.2944542481785324,1385.0
2022-04-06,50.59093738,4.78858098,1995.0,-7405885.649845396,3738.0,-54.839105,1365.0,4252.0,2120.0,0.3903964201709597,-20.44705267,0.1905361892762144,4107.0,58,1.2944542481785324,1385.0
2022-04-06,53.16082172,7.800289068,2055.0,-6073204.507418062,3885.0,-54.838734,1306.0,4275.0,2186.0,0.3500943053220015,-20.44613667,0.1898135263011411,3976.0,59,1.1486411966550016,1511.0
2022-04-06,55.70141032,7.880248611,2055.0,-6073204.507418062,3885.0,-54.838734,1306.0,4275.0,2186.0,0.3500943053220015,-20.44613667,0.1898135263011411,3976.0,59,1.1486411966550016,1511.0
2022-04-06,42.25234896,3.882340283,2126.0,-8164595.160330427,3656.0,-54.83909767,1371.0,4215.0,2133.0,0.401598525130119,-20.447101,0.1700208188757807,4309.0,60,1.3349834639207705,1451.0
2022-04-06,42.33528657,3.785281776,2126.0,-8164595.160330427,3656.0,-54.83909767,1371.0,4215.0,2133.0,0.401598525130119,-20.447101,0.1700208188757807,4309.0,60,1.3349834639207705,1451.0
2022-08-03,53.45224519,4.370941203,2959.0,-1339686.4179930163,3209.0,-54.838977,1438.0,3614.0,2740.0,0.1534522787265846,-20.44698433,-0.0052298375997797,3425.0,61,0.4371903444327831,2267.0
2022-08-03,53.1967557,4.368763355,3099.0,-1286978.763216368,3229.0,-54.83844733,1402.0,3478.0,2711.0,0.1477095262883914,-20.44684633,-0.0317371937639198,3510.0,61,0.4164130661114003,2375.0
2022-08-03,52.30018893,4.201980296,2958.0,-1200010.846213519,3139.0,-54.83904833,1397.0,3395.0,2671.0,0.1461910300598636,-20.44640333,-0.0225996833165395,3345.0,62,0.4109191467565867,2249.0
2022-08-03,52.86403073,4.278554882,2992.0,-998907.1398124348,3081.0,-54.83859467,1391.0,3401.0,2653.0,0.1341705576128374,-20.446358,-0.0242432936451011,3245.0,62,0.3674290774432459,2245.0
2022-08-03,55.46456159,3.908210472,3017.0,-1021016.015203418,3105.0,-54.83925533,1404.0,3394.0,2665.0,0.1350492108103486,-20.44625233,-0.0249928181557023,3277.0,63,0.3706080447118415,2266.0
2022-08-03,53.11088562,3.997033437,2996.0,-941783.4124246415,3113.0,-54.83917867,1401.0,3380.0,2670.0,0.1293245820591776,-20.446368,-0.0245310245310245,3265.0,63,0.3498963378901047,2294.0
2022-08-03,55.234959,5.184525929,3112.0,-1346640.4894625875,3216.0,-54.83947833,1408.0,3552.0,2721.0,0.1534107125868138,-20.44671433,-0.0306999590667212,3443.0,64,0.4370399581390923,2282.0
2022-08-03,56.24841714,5.097676234,3225.0,-1070095.6605327749,3189.0,-54.83970767,1405.0,3546.0,2761.0,0.1353762281959253,-20.44668167,-0.0460048426150121,3411.0,64,0.371791193612858,2376.0
2022-08-03,56.89049791,4.66320803,2959.0,-1339686.4179930163,3209.0,-54.83899567,1438.0,3614.0,2740.0,0.1534522787265846,-20.44697667,-0.0052298375997797,3425.0,65,0.4371903444327831,2267.0
2022-08-03,56.45272487,4.753563942,2959.0,-1339686.4179930163,3209.0,-54.83899567,1438.0,3614.0,2740.0,0.1534522787265846,-20.44697667,-0.0052298375997797,3425.0,65,0.4371903444327831,2267.0
2022-08-03,53.14119991,4.255927401,2958.0,-1200010.846213519,3139.0,-54.83902033,1397.0,3395.0,2671.0,0.1461910300598636,-20.446394,-0.0225996833165395,3345.0,66,0.4109191467565867,2249.0
2022-08-03,52.95361742,4.357613312,2958.0,-1200010.846213519,3139.0,-54.83902033,1397.0,3395.0,2671.0,0.1461910300598636,-20.446394,-0.0225996833165395,3345.0,66,0.4109191467565867,2249.0
2022-08-03,54.66282246,5.076250965,3112.0,-1346640.4894625875,3216.0,-54.83950333,1408.0,3552.0,2721.0,0.1534107125868138,-20.446715,-0.0306999590667212,3443.0,67,0.4370399581390923,2282.0
2022-08-03,54.62946915,5.162731786,3112.0,-1346640.4894625875,3216.0,-54.83950333,1408.0,3552.0,2721.0,0.1534107125868138,-20.446715,-0.0306999590667212,3443.0,67,0.4370399581390923,2282.0
2022-08-03,45.51545678,1.783013546,2982.0,-1453105.2877656508,3239.0,-54.83930567,1451.0,3796.0,2691.0,0.1569249986987977,-20.44704067,0.0047644256220222,3561.0,68,0.44975464529225,2355.0
2022-08-03,45.08127736,1.690486959,2982.0,-1453105.2877656508,3239.0,-54.83930567,1451.0,3796.0,2691.0,0.1569249986987977,-20.44704067,0.0047644256220222,3561.0,68,0.44975464529225,2355.0
2022-08-03,45.54053307,2.230373848,2847.0,-1417162.39200131,3196.0,-54.839098,1445.0,3644.0,2702.0,0.1588067757557655,-20.446931,-0.0061366425746624,3414.0,69,0.4565629146843598,2223.0
2022-08-03,49.43708436,2.223709384,2847.0,-1417162.39200131,3196.0,-54.839098,1445.0,3644.0,2702.0,0.1588067757557655,-20.446931,-0.0061366425746624,3414.0,69,0.4565629146843598,2223.0
2022-08-24,53.62957861,5.003295388,2138.0,-1293793.1455460188,2641.0,-54.83844733,2235.0,2583.0,2450.0,0.1488406646298078,-20.44684633,-0.0291298628077429,3484.0,70,0.4205055246306449,2346.0
2022-08-24,52.82765349,4.916400454,2138.0,-1293793.1455460188,2641.0,-54.83844733,2235.0,2583.0,2450.0,0.1488406646298078,-20.44684633,-0.0291298628077429,3484.0,70,0.4205055246306449,2346.0
2022-08-24,52.11225514,5.826622929,3161.0,-391208.31694772793,2991.0,-54.83859467,2844.0,3589.0,2554.0,0.0873872062896453,-20.446358,0.0627776132662126,2768.0,71,0.1981669123559367,2142.0
2022-08-24,51.21145046,6.002912647,3161.0,-391208.31694772793,2991.0,-54.83859467,2844.0,3589.0,2554.0,0.0873872062896453,-20.446358,0.0627776132662126,2768.0,71,0.1981669123559367,2142.0
2022-08-24,52.6861468,5.088650711,3123.0,-473985.5639095682,3190.0,-54.83917867,2794.0,3476.0,2798.0,0.0928411271370976,-20.446368,0.0267316496824693,3002.0,72,0.2178991979820192,2313.0
2022-08-24,51.00433329,5.014366771,3123.0,-473985.5639095682,3190.0,-54.83917867,2794.0,3476.0,2798.0,0.0928411271370976,-20.446368,0.0267316496824693,3002.0,72,0.2178991979820192,2313.0
2022-08-24,45.97762787,5.082901022,2456.0,-383735.3192103711,2542.0,-54.83970767,1991.0,2812.0,2221.0,0.0902106856012105,-20.44668167,0.0104204096298957,2550.0,73,0.2083822605051798,1930.0
2022-08-24,44.96619128,4.993727319,2456.0,-383735.3192103711,2542.0,-54.83970767,1991.0,2812.0,2221.0,0.0902106856012105,-20.44668167,0.0104204096298957,2550.0,73,0.2083822605051798,1930.0
2022-08-24,44.42768088,2.62865625,2555.0,-540909.2085402801,3022.0,-54.83921267,2182.0,3060.0,2677.0,0.0974627893426558,-20.44693833,-0.0042303937520338,3131.0,74,0.2346203718417289,2395.0
2022-08-24,43.81754235,2.623412048,2555.0,-540909.2085402801,3022.0,-54.83921267,2182.0,3060.0,2677.0,0.0974627893426558,-20.44693833,-0.0042303937520338,3131.0,74,0.2346203718417289,2395.0
2022-08-24,43.96892452,2.143874757,2508.0,-1662664.851506538,3045.0,-54.839056,2217.0,3056.0,2707.0,0.1700608527826701,-20.446994,-0.0097213220998055,3547.0,75,0.4972801653677006,2257.0
2022-08-24,42.86780896,2.320215403,2508.0,-1662664.851506538,3045.0,-54.839056,2217.0,3056.0,2707.0,0.1700608527826701,-20.446994,-0.0097213220998055,3547.0,75,0.4972801653677006,2257.0
2022-09-08,54.53937836,5.517078298,2944.0,-1012946.8221606808,3145.0,-54.83867117,1443.0,3369.0,2646.0,0.1359018375763857,-20.44675783,-0.0153441473038141,3218.0,76,0.3736928483513636,2211.0
2022-09-08,55.76008132,5.437476818,2932.0,-1027085.5365213008,3153.0,-54.83863333,1430.0,3365.0,2621.0,0.1368701811977625,-20.44660133,-0.0146412884333821,3222.0,76,0.3771963155735049,2208.0
2022-09-08,49.88184933,4.635479741,2918.0,-1133054.5549083815,3146.0,-54.83883833,1435.0,3336.0,2591.0,0.1434907734758989,-20.44620933,-0.015929203539823,3268.0,77,0.4011496184358024,2203.0
2022-09-08,49.09764712,4.7263715,2918.0,-1133054.5549083815,3146.0,-54.83883833,1435.0,3336.0,2591.0,0.1434907734758989,-20.44620933,-0.015929203539823,3268.0,77,0.4011496184358024,2203.0
2022-09-08,46.65341046,4.518474279,3088.0,-1325832.0576810772,3277.0,-54.83958,1442.0,3521.0,2683.0,0.1536754033979339,-20.44654033,-0.0185365853658536,3384.0,78,0.4379976094937249,2232.0
2022-09-08,48.86346292,4.520727883,3088.0,-1325832.0576810772,3277.0,-54.83958,1442.0,3521.0,2683.0,0.1536754033979339,-20.44654033,-0.0185365853658536,3384.0,78,0.4379976094937249,2232.0
2022-09-08,52.1304974,4.857595564,2952.0,-1078381.0108671894,3171.0,-54.838753,1454.0,3421.0,2639.0,0.1402356066168531,-20.446898,-0.0101273148148148,3240.0,79,0.3893724247397745,2201.0
2022-09-08,51.66965061,4.770016781,2952.0,-1078381.0108671894,3171.0,-54.838753,1454.0,3421.0,2639.0,0.1402356066168531,-20.446898,-0.0101273148148148,3240.0,79,0.3893724247397745,2201.0
2022-09-08,52.31855989,5.254616672,3088.0,-1325832.0576810772,3277.0,-54.83958967,1442.0,3521.0,2683.0,0.1536754033979339,-20.44653433,-0.0185365853658536,3384.0,80,0.4379976094937249,2232.0
2022-09-08,53.05830801,5.156308504,3088.0,-1325832.0576810772,3277.0,-54.83958967,1442.0,3521.0,2683.0,0.1536754033979339,-20.44653433,-0.0185365853658536,3384.0,80,0.4379976094937249,2232.0
2022-09-08,47.16882536,2.724853044,2820.0,-1465174.6711002414,3093.0,-54.83919,1460.0,3381.0,2545.0,0.1637637258614161,-20.44685133,-0.0218429046723564,3351.0,81,0.4744971601666036,2140.0
2022-09-08,46.66795262,2.72213363,2820.0,-1465174.6711002414,3093.0,-54.83919,1460.0,3381.0,2545.0,0.1637637258614161,-20.44685133,-0.0218429046723564,3351.0,81,0.4744971601666036,2140.0
2022-09-08,43.73030856,2.263555138,2809.0,-1533741.585457999,3134.0,-54.839276,1463.0,3486.0,2536.0,0.1670207488568717,-20.446959,-0.0130237825594563,3388.0,82,0.4862810693641619,2149.0
2022-09-08,44.42764416,2.349407907,2809.0,-1533741.585457999,3134.0,-54.839276,1463.0,3486.0,2536.0,0.1670207488568717,-20.446959,-0.0130237825594563,3388.0,82,0.4862810693641619,2149.0
2022-10-13,53.99822474,5.525871375,3011.0,-736956.925679909,3273.0,-54.83881133,2286.0,3515.0,2834.0,0.1112233271182929,-20.446649,-0.0011366865586814,3344.0,83,0.2844059975139839,2485.0
2022-10-13,51.61702,5.51760736,3011.0,-736956.925679909,3273.0,-54.83881133,2286.0,3515.0,2834.0,0.1112233271182929,-20.446649,-0.0011366865586814,3344.0,83,0.2844059975139839,2485.0
2022-10-13,54.12061915,6.342969674,2885.0,-1362940.527528494,3468.0,-54.83845533,2284.0,3832.0,2819.0,0.1506521380221231,-20.44655367,0.0314939434724091,3584.0,84,0.4270594353640415,2416.0
2022-10-13,56.24990629,6.409883893,2885.0,-1362940.527528494,3468.0,-54.83845533,2284.0,3832.0,2819.0,0.1506521380221231,-20.44655367,0.0314939434724091,3584.0,84,0.4270594353640415,2416.0
2022-10-13,58.22656143,5.961588672,2993.0,-757703.3228034502,3309.0,-54.83887367,2285.0,3555.0,2818.0,0.112667384150506,-20.44620033,-0.0005622715771717,3358.0,85,0.2896305958565308,2487.0
2022-10-13,61.83276443,5.952681916,2993.0,-757703.3228034502,3309.0,-54.83887367,2285.0,3555.0,2818.0,0.112667384150506,-20.44620033,-0.0005622715771717,3358.0,85,0.2896305958565308,2487.0
2022-10-13,53.38577459,7.43264317,3179.0,-984972.658009198,3375.0,-54.83945867,2290.0,3664.0,2895.0,0.1267784734492937,-20.44661767,-0.0119994606983955,3519.0,86,0.3406845169395446,2526.0
2022-10-13,54.75400907,7.27529309,3179.0,-984972.658009198,3375.0,-54.83945867,2290.0,3664.0,2895.0,0.1267784734492937,-20.44661767,-0.0119994606983955,3519.0,86,0.3406845169395446,2526.0
2022-10-13,56.31959727,6.596545217,3011.0,-736956.925679909,3273.0,-54.83877533,2286.0,3515.0,2834.0,0.1112233271182929,-20.44666533,-0.0011366865586814,3344.0,87,0.2844059975139839,2485.0
2022-10-13,56.71011609,6.774830222,3011.0,-736956.925679909,3273.0,-54.83877533,2286.0,3515.0,2834.0,0.1112233271182929,-20.44666533,-0.0011366865586814,3344.0,87,0.2844059975139839,2485.0
2022-10-13,62.55497634,6.573655061,2993.0,-757703.3228034502,3309.0,-54.83885667,2285.0,3555.0,2818.0,0.112667384150506,-20.44619733,-0.0005622715771717,3358.0,88,0.2896305958565308,2487.0
2022-10-13,57.91734778,6.395988708,2993.0,-757703.3228034502,3309.0,-54.83885667,2285.0,3555.0,2818.0,0.112667384150506,-20.44619733,-0.0005622715771717,3358.0,88,0.2896305958565308,2487.0
2022-10-13,55.23757898,7.317059553,3179.0,-984972.658009198,3375.0,-54.83945433,2290.0,3664.0,2895.0,0.1267784734492937,-20.44661933,-0.0119994606983955,3519.0,89,0.3406845169395446,2526.0
2022-10-13,56.27781036,7.209802612,3179.0,-984972.658009198,3375.0,-54.83945433,2290.0,3664.0,2895.0,0.1267784734492937,-20.44661933,-0.0119994606983955,3519.0,89,0.3406845169395446,2526.0
2022-10-13,47.46546275,3.102118611,2884.0,-1834517.2950625352,3375.0,-54.83909433,2298.0,3765.0,2763.0,0.1746800325897507,-20.44713733,0.0170178282009724,3719.0,90,0.5139923579097181,2364.0
2022-10-13,47.45718081,3.187569365,2884.0,-1834517.2950625352,3375.0,-54.83909433,2298.0,3765.0,2763.0,0.1746800325897507,-20.44713733,0.0170178282009724,3719.0,90,0.5139923579097181,2364.0
2022-10-13,48.37706302,3.095733169,2857.0,-1148014.0327701813,3344.0,-54.83920733,2295.0,3719.0,2787.0,0.1381058880517794,-20.446985,0.0045921123716909,3523.0,91,0.3816671029713378,2451.0
2022-10-13,50.92177821,3.184182689,2857.0,-1148014.0327701813,3344.0,-54.83920733,2295.0,3719.0,2787.0,0.1381058880517794,-20.446985,0.0045921123716909,3523.0,91,0.3816671029713378,2451.0
2022-11-03,59.57582613,11.28527577,2900.0,-4171472.364146358,4132.0,-54.838467,1664.0,4511.0,2887.0,0.2651703943679521,-20.446566,0.0815152241668664,4166.0,92,0.8413864868232508,2123.0
2022-11-03,58.9879759,11.28527577,2900.0,-4171472.364146358,4132.0,-54.838467,1664.0,4511.0,2887.0,0.2651703943679521,-20.446566,0.0815152241668664,4166.0,92,0.8413864868232508,2123.0
2022-11-03,54.61568769,6.529754381,2905.0,-4504648.805204692,4131.0,-54.838841,1819.0,4468.0,2913.0,0.2750912219596135,-20.44644733,0.0814474161926661,4232.0,93,0.8772800410498818,2109.0
2022-11-03,56.22993068,6.529754381,2905.0,-4504648.805204692,4131.0,-54.838841,1819.0,4468.0,2913.0,0.2750912219596135,-20.44644733,0.0814474161926661,4232.0,93,0.8772800410498818,2109.0
2022-11-03,59.86944291,6.245302578,2872.0,-4200116.460066466,4148.0,-54.838975,1964.0,4493.0,2910.0,0.2650935198212364,-20.446119,0.0836951278340569,4192.0,94,0.8411083547132335,2142.0
2022-11-03,57.67164571,6.15734057,2872.0,-4200116.460066466,4148.0,-54.838975,1964.0,4493.0,2910.0,0.2650935198212364,-20.446119,0.0836951278340569,4192.0,94,0.8411083547132335,2142.0
2022-11-03,52.42788252,5.846966965,3112.0,-4390796.872968842,4306.0,-54.83974067,2088.0,4693.0,3097.0,0.2599980152823261,-20.44663,0.0767465871285992,4466.0,95,0.8226728192914557,2370.0
2022-11-03,52.37077989,5.758376556,3112.0,-4390796.872968842,4306.0,-54.83974067,2088.0,4693.0,3097.0,0.2599980152823261,-20.44663,0.0767465871285992,4466.0,95,0.8226728192914557,2370.0
2022-11-03,57.42872756,8.834383197,2900.0,-4171472.364146358,4132.0,-54.83848333,1664.0,4511.0,2887.0,0.2651703943679521,-20.44658267,0.0815152241668664,4166.0,96,0.8413864868232508,2123.0
2022-11-03,57.98711437,8.909389619,2900.0,-4171472.364146358,4132.0,-54.83848333,1664.0,4511.0,2887.0,0.2651703943679521,-20.44658267,0.0815152241668664,4166.0,96,0.8413864868232508,2123.0
2022-11-03,63.51403535,7.061446936,2913.0,-4241200.7648863895,4083.0,-54.83885133,1799.0,4411.0,2899.0,0.2675658263887446,-20.446483,0.0754601974887236,4174.0,97,0.8500531598744779,2114.0
2022-11-03,59.96361871,7.142579579,2913.0,-4241200.7648863895,4083.0,-54.83885133,1799.0,4411.0,2899.0,0.2675658263887446,-20.446483,0.0754601974887236,4174.0,97,0.8500531598744779,2114.0
2022-11-03,58.16649217,6.7873313,2893.0,-4208322.060758226,4166.0,-54.838971,2063.0,4500.0,2924.0,0.2634714546911272,-20.44608067,0.081081081081081,4234.0,98,0.8352397230724984,2182.0
2022-11-03,57.91258319,6.7873313,2893.0,-4208322.060758226,4166.0,-54.838971,2063.0,4500.0,2924.0,0.2634714546911272,-20.44608067,0.081081081081081,4234.0,98,0.8352397230724984,2182.0
2022-11-03,56.82182351,6.172505598,3112.0,-4390796.872968842,4306.0,-54.83974067,2088.0,4693.0,3097.0,0.2599980152823261,-20.44663,0.0767465871285992,4466.0,99,0.8226728192914557,2370.0
2022-11-03,56.27132829,6.078251733,3112.0,-4390796.872968842,4306.0,-54.83974067,2088.0,4693.0,3097.0,0.2599980152823261,-20.44663,0.0767465871285992,4466.0,99,0.8226728192914557,2370.0
2022-11-03,47.95723003,3.839783221,3282.0,-3753631.883638443,4318.0,-54.83919167,2069.0,4749.0,3138.0,0.2378894857266308,-20.447129,0.0761386811692726,4417.0,100,0.7426841593589505,2479.0
2022-11-03,48.60888313,3.74861537,3282.0,-3753631.883638443,4318.0,-54.83919167,2069.0,4749.0,3138.0,0.2378894857266308,-20.447129,0.0761386811692726,4417.0,100,0.7426841593589505,2479.0
2022-11-03,49.18051365,4.685130458,3217.0,-3714986.549995005,4271.0,-54.83906333,2003.0,4611.0,3173.0,0.2356369040635144,-20.44710233,0.0615862783469552,4436.0,101,0.7345343189017951,2508.0
2022-11-03,49.45251349,4.773529145,3217.0,-3714986.549995005,4271.0,-54.83906333,2003.0,4611.0,3173.0,0.2356369040635144,-20.44710233,0.0615862783469552,4436.0,101,0.7345343189017951,2508.0
2022-11-16,60.82144633,7.012551963,2722.0,-2144566.544154253,3400.0,-54.8392,1473.0,3607.0,2638.0,0.1980500519120955,-20.44662033,0.0378362825492734,3532.0,102,0.5985450878179616,2067.0
2022-11-16,60.22046799,6.936485826,2722.0,-2144566.544154253,3400.0,-54.8392,1473.0,3607.0,2638.0,0.1980500519120955,-20.44662033,0.0378362825492734,3532.0,102,0.5985450878179616,2067.0
2022-11-16,62.20618811,6.692712603,2662.0,-2609607.1013792614,3468.0,-54.83891567,1470.0,3667.0,2636.0,0.21868808799489,-20.44659167,0.0526769054112243,3633.0,103,0.6732135023655123,2017.0
2022-11-16,62.03681113,6.689376256,2662.0,-2609607.1013792614,3468.0,-54.83891567,1470.0,3667.0,2636.0,0.21868808799489,-20.44659167,0.0526769054112243,3633.0,103,0.6732135023655123,2017.0
2022-11-16,61.50032705,7.691690092,2667.0,-3008227.7575851027,3565.0,-54.838761,1460.0,3780.0,2680.0,0.2330761211834625,-20.44644767,0.060159865376525,3757.0,104,0.7252694064417673,2022.0
