scenario,target_col,delta_max_days,use_climate,rank,feature,importance
CP_D5_clim,CP,5,True,1,Animals,0.2463349103927612
CP_D5_clim,CP,5,True,2,RAD_SOL,0.144302561879158
CP_D5_clim,CP,5,True,3,GEMI,0.1118250414729118
CP_D5_clim,CP,5,True,4,DM,0.0945292860269546
CP_D5_clim,CP,5,True,5,B9,0.0559643357992172
CP_D5_clim,CP,5,True,6,Radiative_Dif_AVG,0.0415553674101829
CP_D5_clim,CP,5,True,7,DOY,0.0395647957921028
CP_D5_clim,CP,5,True,8,DVI,0.0347842499613761
CP_D5_clim,CP,5,True,9,TP_SFC_AVG,0.0247817933559417
CP_D5_clim,CP,5,True,10,Wind_Dir,0.0182627420872449
CP_D5_clim,CP,5,True,11,Longwave_Rad_AVG,0.0157106425613164
CP_D5_clim,CP,5,True,12,Radiative_Direct_AVG,0.0155059788376092
CP_D5_clim,CP,5,True,13,Biomass,0.0144648011773824
CP_D5_clim,CP,5,True,14,TEMP_MIN,0.0141685111448168
CP_D5_clim,CP,5,True,15,ADF,0.0138042522594332
CP_D5_noclim,CP,5,False,1,Animals,0.2628510892391205
CP_D5_noclim,CP,5,False,2,RAD_SOL,0.1251612603664398
CP_D5_noclim,CP,5,False,3,B9,0.0908111408352851
CP_D5_noclim,CP,5,False,4,DM,0.0829359740018844
CP_D5_noclim,CP,5,False,5,Wind_Dir,0.0673011168837547
CP_D5_noclim,CP,5,False,6,DOY,0.057281881570816
CP_D5_noclim,CP,5,False,7,GEMI,0.0564949586987495
CP_D5_noclim,CP,5,False,8,DVI,0.0333862267434597
CP_D5_noclim,CP,5,False,9,TP_SFC_AVG,0.0223071258515119
CP_D5_noclim,CP,5,False,10,B6,0.0214648749679327
CP_D5_noclim,CP,5,False,11,Radiative_Direct_AVG,0.0197346564382314
CP_D5_noclim,CP,5,False,12,Longwave_Rad_AVG,0.0159354545176029
CP_D5_noclim,CP,5,False,13,Biomass,0.0140265831723809
CP_D5_noclim,CP,5,False,14,ADF,0.0133893825113773
CP_D5_noclim,CP,5,False,15,Radiative_Dif_AVG,0.0099989725276827
CP_D7_clim,CP,7,True,1,Animals,0.3503888249397278
CP_D7_clim,CP,7,True,2,DM,0.0960631594061851
CP_D7_clim,CP,7,True,3,TP_SFC_AVG,0.0578861013054847
CP_D7_clim,CP,7,True,4,TEMP_MIN,0.0528591275215148
CP_D7_clim,CP,7,True,5,DOY,0.050279427319765
CP_D7_clim,CP,7,True,6,RAD_SOL,0.0474067479372024
CP_D7_clim,CP,7,True,7,GEMI,0.0416865982115268
CP_D7_clim,CP,7,True,8,PPFD,0.0390706472098827
CP_D7_clim,CP,7,True,9,B7,0.0271920356899499
CP_D7_clim,CP,7,True,10,Radiative_Dif_AVG,0.0258479323238134
CP_D7_clim,CP,7,True,11,ADF,0.0191823709756135
CP_D7_clim,CP,7,True,12,Longwave_Rad_AVG,0.0141353690996766
CP_D7_clim,CP,7,True,13,WIND_SPD,0.0134395416826009
CP_D7_clim,CP,7,True,14,B9,0.0127584543079137
CP_D7_clim,CP,7,True,15,Biomass,0.0125448396429419
CP_D7_noclim,CP,7,False,1,Animals,0.2612752616405487
CP_D7_noclim,CP,7,False,2,RAD_SOL,0.0891721844673156
CP_D7_noclim,CP,7,False,3,GEMI,0.0872323736548423
CP_D7_noclim,CP,7,False,4,DM,0.0794827714562416
CP_D7_noclim,CP,7,False,5,Radiative_Dif_AVG,0.0700264647603035
CP_D7_noclim,CP,7,False,6,B9,0.0589200407266616
CP_D7_noclim,CP,7,False,7,DOY,0.0501031391322612
CP_D7_noclim,CP,7,False,8,Longwave_Rad_AVG,0.0434258356690406
CP_D7_noclim,CP,7,False,9,TP_SFC_AVG,0.0422023311257362
CP_D7_noclim,CP,7,False,10,TDN_based_ADF,0.0409357398748397
CP_D7_noclim,CP,7,False,11,ADF,0.0178555343300104
CP_D7_noclim,CP,7,False,12,WIND_SPD,0.0167610589414834
CP_D7_noclim,CP,7,False,13,TDN_based_NDF,0.0133607955649495
CP_D7_noclim,CP,7,False,14,Biomass,0.0111924726516008
CP_D7_noclim,CP,7,False,15,EVAPOT,0.0088312374427914
TDN_D5_clim,TDN_based_ADF,5,True,1,Animals,0.4573838114738464
TDN_D5_clim,TDN_based_ADF,5,True,2,Radiative_Dif_AVG,0.1099755987524986
TDN_D5_clim,TDN_based_ADF,5,True,3,Wind_Dir,0.0595874600112438
TDN_D5_clim,TDN_based_ADF,5,True,4,RAD_SOL,0.0428971722722053
TDN_D5_clim,TDN_based_ADF,5,True,5,TEMP_MAX,0.0371720567345619
TDN_D5_clim,TDN_based_ADF,5,True,6,NDF,0.0349106714129447
TDN_D5_clim,TDN_based_ADF,5,True,7,PRES_ATM,0.0259474609047174
TDN_D5_clim,TDN_based_ADF,5,True,8,B1,0.0207340791821479
TDN_D5_clim,TDN_based_ADF,5,True,9,TP_SFC_AVG,0.0194590985774993
TDN_D5_clim,TDN_based_ADF,5,True,10,B8,0.0171682648360729
TDN_D5_clim,TDN_based_ADF,5,True,11,PPFD,0.0147661939263343
TDN_D5_clim,TDN_based_ADF,5,True,12,DM,0.0140284113585948
TDN_D5_clim,TDN_based_ADF,5,True,13,Biomass,0.0112770413979887
TDN_D5_clim,TDN_based_ADF,5,True,14,TEMP_MIN,0.0111873345449566
TDN_D5_clim,TDN_based_ADF,5,True,15,B11,0.0109609384089708
TDN_D5_noclim,TDN_based_ADF,5,False,1,Animals,0.3916387557983398
TDN_D5_noclim,TDN_based_ADF,5,False,2,PRES_ATM,0.0783931761980056
TDN_D5_noclim,TDN_based_ADF,5,False,3,NDF,0.0637162625789642
TDN_D5_noclim,TDN_based_ADF,5,False,4,Radiative_Dif_AVG,0.0608737990260124
TDN_D5_noclim,TDN_based_ADF,5,False,5,Wind_Dir,0.0557275377213954
TDN_D5_noclim,TDN_based_ADF,5,False,6,RAD_SOL,0.0441677644848823
TDN_D5_noclim,TDN_based_ADF,5,False,7,DM,0.0253488179296255
TDN_D5_noclim,TDN_based_ADF,5,False,8,B1,0.0221804771572351
TDN_D5_noclim,TDN_based_ADF,5,False,9,B8,0.0213532298803329
TDN_D5_noclim,TDN_based_ADF,5,False,10,GCI,0.0176995880901813
TDN_D5_noclim,TDN_based_ADF,5,False,11,B6,0.0149692092090845
TDN_D5_noclim,TDN_based_ADF,5,False,12,B11,0.0144203398376703
TDN_D5_noclim,TDN_based_ADF,5,False,13,TP_SFC_AVG,0.0133996764197945
TDN_D5_noclim,TDN_based_ADF,5,False,14,SAVI,0.0123162195086479
TDN_D5_noclim,TDN_based_ADF,5,False,15,LAI,0.0122147193178534
TDN_D7_clim,TDN_based_ADF,7,True,1,Animals,0.4003143906593323
TDN_D7_clim,TDN_based_ADF,7,True,2,Radiative_Dif_AVG,0.1552931517362594
TDN_D7_clim,TDN_based_ADF,7,True,3,TEMP_MAX,0.062805563211441
TDN_D7_clim,TDN_based_ADF,7,True,4,PRES_ATM,0.0619040727615356
TDN_D7_clim,TDN_based_ADF,7,True,5,Wind_Dir,0.0391227975487709
TDN_D7_clim,TDN_based_ADF,7,True,6,NDF,0.0354671068489551
TDN_D7_clim,TDN_based_ADF,7,True,7,TP_SFC_AVG,0.0271417275071144
TDN_D7_clim,TDN_based_ADF,7,True,8,DM,0.0213612206280231
TDN_D7_clim,TDN_based_ADF,7,True,9,EVAPOT,0.0199927911162376
TDN_D7_clim,TDN_based_ADF,7,True,10,RAD_SOL,0.0169385317713022
TDN_D7_clim,TDN_based_ADF,7,True,11,HUM_REL,0.016831474378705
TDN_D7_clim,TDN_based_ADF,7,True,12,B1,0.0136684048920869
TDN_D7_clim,TDN_based_ADF,7,True,13,Radiative_Direct_AVG,0.0118615133687853
TDN_D7_clim,TDN_based_ADF,7,True,14,Biomass,0.0094168419018387
TDN_D7_clim,TDN_based_ADF,7,True,15,GCI,0.0085550025105476
TDN_D7_noclim,TDN_based_ADF,7,False,1,Animals,0.3089468479156494
TDN_D7_noclim,TDN_based_ADF,7,False,2,PRES_ATM,0.1116227507591247
TDN_D7_noclim,TDN_based_ADF,7,False,3,Wind_Dir,0.0868566036224365
TDN_D7_noclim,TDN_based_ADF,7,False,4,NDF,0.0697733536362648
TDN_D7_noclim,TDN_based_ADF,7,False,5,RAD_SOL,0.0486210212111473
TDN_D7_noclim,TDN_based_ADF,7,False,6,Radiative_Dif_AVG,0.0398858189582824
TDN_D7_noclim,TDN_based_ADF,7,False,7,EVAPOT,0.03631142526865
TDN_D7_noclim,TDN_based_ADF,7,False,8,DM,0.0285057630389928
TDN_D7_noclim,TDN_based_ADF,7,False,9,Radiative_Direct_AVG,0.0284901466220617
TDN_D7_noclim,TDN_based_ADF,7,False,10,TP_SFC_AVG,0.0227786153554916
TDN_D7_noclim,TDN_based_ADF,7,False,11,B1,0.020354900509119
TDN_D7_noclim,TDN_based_ADF,7,False,12,GCI,0.0187004245817661
TDN_D7_noclim,TDN_based_ADF,7,False,13,B8,0.0184659399092197
TDN_D7_noclim,TDN_based_ADF,7,False,14,B12,0.0167283657938241
TDN_D7_noclim,TDN_based_ADF,7,False,15,Biomass,0.0120722409337759
